Language,Created by [CREATED_BY],Ingredient name [INGREDIENT_NAME],Category [CATEGORY],Supplier [SUPPLIER],Allergen [ALLERGEN],Allowed unit [ALLOWED_UNIT],Dietary applicability [DIETARY_APPLICABILITY],Effective start date [EFFECTIVE_START_DATE],Effective end date [EFFECTIVE_END_DATE],Status [STATUS],Last changed by [LAST_CHANGED_BY],Record ID,Data Version,Created At,Updated At,Status,PDF URL
EN,System Administrator,Cayenne,Herbs - spices - condiments,Freshmed,None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,053abba1-d993-4978-a3d9-e5dca0133a3b,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Cheese,Dairy,"VDS, Solucious",Milk,"kg, gr","Diabetic, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,fe40967e-faa7-45c6-b192-1cd91b516b63,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Chicken cubes,Animal protein Halal,VDS,None,"kg, gr, piece","Diabetic, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,adb8beb0-9636-4351-b447-93c37d2fd02e,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Chicken nuggets,Animal protein Halal,Ozfood,Gluten,"kg, gr, piece","Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,f191f2f2-4608-4eb6-b8e3-06b7572afb2e,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Chicken stripes,Animal protein Halal,VDS,None,"kg, gr","Diabetic, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,cd357961-0795-4022-9d22-9933f893efed,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Chicken tenders,Animal protein Halal,Ozfood,Gluten,"kg, gr, piece","Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,16c819c6-7c3b-4080-9ed8-5bc9e8567152,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Chicken wings,Animal protein Halal,Ozfood,Gluten,"kg, gr, piece","Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,a9d620a4-abf3-46e9-944f-8a19608b315f,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Chickpeas - dry,Vegan protein,Freshmed,None,"kg, gr","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,f0d8341d-6611-4efa-b7a0-0901e7ea468f,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Chickpeas - tinned,Vegan protein,"VDS, Solucious",None,"kg, gr, tin-2655gr","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,0bc29c06-842d-4211-8413-34e31b9aedd3,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Chinese mix,Frozen vegetables,VDS,None,"kg, gr, bag","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,099e2728-22e7-4d67-a739-b75e39befa43,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Cinnamon,Herbs - spices - condiments,Freshmed,None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,e0fded7e-9545-4428-99c1-f2b3fc85c21a,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Coconut milk,Tins/Pots,VDS,None,"L, cl","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,91715a4b-8e35-412c-bccf-9705f63bf05f,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Cordon bleu,Animal protein Halal,"VDS, Solucious","Gluten, Milk, Egg","kg, gr, piece","Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,d3ff02f2-8839-4312-96c9-ae77c9aeda9d,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Coriander powder,Herbs - spices - condiments,Freshmed,None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,92f0ec61-39c2-41f5-8396-33ec4a523f13,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Corn - frozen,Frozen vegetables,VDS,None,"kg, gr, bag","Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,e08bba8e-8de7-436b-81e9-58df4daa558c,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Courgette,Fresh vegetables,"Freshmed, Mabru, VDS",None,"kg, gr, bucket","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,fb28825d-282c-4baa-b443-3ee42acc2644,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Courgette - frozen,Frozen vegetables,VDS,None,"kg, gr, bag","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,31e3da34-e755-4d58-950f-5257531c6eaa,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Couscous,Dry carbohydrates,Freshmed,Gluten,"kg, gr","Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,10448b07-8b08-4a5b-98cb-89a5678adeaa,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Couscous vegetables mix,Frozen vegetables,VDS,None,"kg, gr, bag","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,756b8684-fc92-42f8-92a0-9a8d15c9ef00,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Cream,Tins/Pots,VDS,Milk,"L, cl","Diabetic, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,e23a32bb-f0be-44fe-8df9-5ed1070c6c10,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
